pr	path	diff_status	capabilities	overlap_404
404	.github/workflows/ci.yml	modified	C02,CI	N
404	android/app/src/androidTest/java/com/ticketbox/data/repository/ExpenseCorrectionConnectedFixture.kt	modified	TEST,SHARED	N
404	android/app/src/androidTest/java/com/ticketbox/data/repository/ExpenseSnapshotRoomContinuityTest.kt	added	TEST,SHARED	N
404	android/app/src/androidTest/java/com/ticketbox/data/repository/PendingExpenseAdmissionRoomTest.kt	added	A07,A08,A09	N
404	android/app/src/androidTest/java/com/ticketbox/data/repository/PendingExpenseCacheRoomTest.kt	added	A07,A08,A09	N
404	android/app/src/androidTest/java/com/ticketbox/data/repository/PendingRejectUndoRoomTest.kt	added	A10	N
404	android/app/src/androidTest/java/com/ticketbox/ui/navigation/BudgetFirstUseRouteTest.kt	modified	A12,B03	N
404	android/app/src/androidTest/java/com/ticketbox/ui/navigation/DataQualityConnectedHarness.kt	modified	A11	N
404	android/app/src/androidTest/java/com/ticketbox/ui/navigation/ExpenseFxContinuationRouteTest.kt	added	TEST,SHARED	N
404	android/app/src/androidTest/java/com/ticketbox/ui/navigation/FactEntryNavigationTest.kt	modified	TEST,SHARED	N
404	android/app/src/androidTest/java/com/ticketbox/ui/navigation/HistoricalCorrectionRateRecoveryTest.kt	modified	TEST,SHARED	N
404	android/app/src/androidTest/java/com/ticketbox/ui/navigation/ManualCreationRouteRoomTest.kt	modified	TEST,SHARED	N
404	android/app/src/androidTest/java/com/ticketbox/ui/navigation/PlanningFinancialRefreshRouteTest.kt	modified	TEST,SHARED	N
404	android/app/src/androidTest/java/com/ticketbox/ui/screens/pending/PendingViewerRowCtaTest.kt	modified	A07,A09,A11	N
404	android/app/src/androidTest/java/com/ticketbox/ui/screens/settings/BudgetGlobalRecoveryTest.kt	modified	A12,B03	N
404	android/app/src/androidTest/java/com/ticketbox/ui/screens/settings/CategoryRuleGlobalRecoveryTest.kt	modified	TEST,SHARED	N
404	android/app/src/androidTest/java/com/ticketbox/ui/screens/settings/GoalGlobalRecoveryTest.kt	modified	TEST,SHARED	N
404	android/app/src/androidTest/java/com/ticketbox/ui/screens/settings/ManualExpenseSyncRetryConnectedTest.kt	modified	TEST,SHARED	N
404	android/app/src/androidTest/java/com/ticketbox/ui/screens/settings/RecurringGlobalRecoveryTest.kt	modified	B03,SHARED	N
404	android/app/src/androidTest/java/com/ticketbox/ui/screens/settings/SyncStatusScreenConfirmTest.kt	modified	TEST,SHARED	N
404	android/app/src/main/java/com/ticketbox/AppContainer.kt	modified	SHARED,DI	N
404	android/app/src/main/java/com/ticketbox/data/local/ExpenseDao.kt	modified	A07,A08	N
404	android/app/src/main/java/com/ticketbox/data/local/PendingMutationDao.kt	modified	A07,A08,A09	N
404	android/app/src/main/java/com/ticketbox/data/local/PendingMutationType.kt	modified	A07,A08,A09	N
404	android/app/src/main/java/com/ticketbox/data/remote/ApiClientBuilders.kt	modified	A12,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/remote/api/ExpenseDetailApi.kt	modified	A12,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/remote/api/ExpenseStateApi.kt	modified	A12,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/remote/dto/BudgetDto.kt	modified	A12,B03	N
404	android/app/src/main/java/com/ticketbox/data/remote/dto/ErrorDto.kt	modified	A12,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/remote/dto/ExchangeRateDto.kt	modified	A02,A03	N
404	android/app/src/main/java/com/ticketbox/data/remote/dto/ExpenseDto.kt	modified	A12,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/remote/dto/IncomePlanDto.kt	modified	A12	N
404	android/app/src/main/java/com/ticketbox/data/remote/dto/InsightsDto.kt	modified	A12,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/remote/dto/ProjectionReferenceDto.kt	added	A12,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/BackgroundTaskMappers.kt	modified	A04,A05	N
404	android/app/src/main/java/com/ticketbox/data/repository/BudgetMappers.kt	modified	A12,B03	N
404	android/app/src/main/java/com/ticketbox/data/repository/ConfirmExpenseDispatcher.kt	modified	A06,A09	N
404	android/app/src/main/java/com/ticketbox/data/repository/CreateExpenseDispatcher.kt	modified	A08,B08,B09	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseAcceptanceReceipt.kt	added	A08,A09	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseAcceptedPublication.kt	added	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseBackgroundTaskRepository.kt	modified	A04,A05	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseCorrectionPayload.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseCorrectionRepository.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseDetailRepository.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseEditActions.kt	modified	A03,A06,A09	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseFactActions.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseMappers.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseOffsetDispatchers.kt	modified	A12,B12	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseOffsetRepository.kt	modified	A12,B12	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpensePendingRepository.kt	modified	A04,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseRefreshRequirement.kt	added	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseRepository.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/ExpenseRepositoryCore.kt	modified	A08,B08	N
404	android/app/src/main/java/com/ticketbox/data/repository/IncomePlanRepository.kt	modified	A12	N
404	android/app/src/main/java/com/ticketbox/data/repository/LedgerRepository.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/ManualExpenseCreationProjection.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/MarkNotDuplicateDispatcher.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/NetworkErrorHandler.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/OutboxDrainEngine.kt	modified	A08,A09	N
404	android/app/src/main/java/com/ticketbox/data/repository/OutboxHttpError.kt	modified	A08,A09	N
404	android/app/src/main/java/com/ticketbox/data/repository/OutboxRepository.kt	modified	A08,A09	N
404	android/app/src/main/java/com/ticketbox/data/repository/OutboxRepositoryDrain.kt	added	A08,A09	N
404	android/app/src/main/java/com/ticketbox/data/repository/OutboxRepositoryRecovery.kt	added	A08,A09	N
404	android/app/src/main/java/com/ticketbox/data/repository/OutboxRepositoryStatus.kt	added	A08,A09	N
404	android/app/src/main/java/com/ticketbox/data/repository/PatchExpenseDispatcher.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/PendingReviewActions.kt	modified	A04,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/RecognizeTextDispatcher.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/RejectExpenseDispatcher.kt	modified	A10	N
404	android/app/src/main/java/com/ticketbox/data/repository/RepositoryWiring.kt	modified	A08,A09,SHARED	N
404	android/app/src/main/java/com/ticketbox/data/repository/RetryOcrDispatcher.kt	modified	A01	N
404	android/app/src/main/java/com/ticketbox/data/repository/UndoExpenseDispatcher.kt	added	A10	N
404	android/app/src/main/java/com/ticketbox/domain/model/Budget.kt	modified	A12,B03	N
404	android/app/src/main/java/com/ticketbox/domain/model/Expense.kt	modified	A12,SHARED	N
404	android/app/src/main/java/com/ticketbox/domain/model/ExpenseOffsetFacts.kt	modified	A12,B12	N
404	android/app/src/main/java/com/ticketbox/domain/model/PendingReviewAction.kt	modified	A04,SHARED	N
